COST CENTER,COST CENTER NAME
120,METROPOLITAN COUNCIL DISTRICTS
140,METRO COUNCIL - SPEC PROG & ECON DEVELOP
170,METRO COUNCIL - COMMUNITY CENTER DIST 01
171,METRO COUNCIL - COMMUNITY CETNER DIST 10
210,COUNCIL ADMINISTRATOR-ADMINISTRATION
300,COUNCIL BUDGET OFFICE
510,PARISH ATTORNEY-ADMINISTRATION (2016+COL
512,PARISH ATTORNEY-LITIGATION & RISK MGMT
513,PARISH ATTORNEY-COLLECTIONS (DELETE 2016
514,PARISH ATTORNEY-RISK & CLAIMS MGMT (OLD)
520,PARISH ATTORNEY-CITY PROSECUTOR
530,PARISH ATTORNEY-ABC OFFICE
600,PUBLIC INFORMATION OFFICE
650,PUBLIC INFO - PEG ACCESS FEES
800,ANIMAL CONTROL CENTER
910,GREATER BATON ROUGE AIRPORT-ADMINISTRATI
920,GREATER BATON ROUGE AIRPORT-AIRFIELD
940,GREATER BATON ROUGE AIRPORT-TERMINAL BUI
970,GREATER BATON ROUGE AIRPORT-POLICE/ARFF
980,GREATER BATON ROUGE AIRPORT-CAPITAL PROJ
981,AIRPORT-RENEWAL & REPLACEMENT CASH
983,AIRPORT - DEDICATED FOR NOISE MITIGATION
984,AIRPORT - CUSTOMER FACILITY CHARGES
985,AIRPORT -MAINTENANCE & OPERATIONS RESERV
986,AIRPORT - DISCRETIONARY
989,AIRPORT - CAPITAL IMPROVEMENTS
996,AIRPORT NONTAXABLE BONDS - PARKING GARAG
1030,FIRE PROTECTION DISTRICT-BROWNSFIELD
1061,LGAP DIV OF ADMIN OFF OF COMM DEVELOPMEN
1070,FIRE PROTECTION DISTRICT-CHANEYVILLE
1080,FIRE PROTECTION DISTRICT-PRIDE
1090,FIRE PROTECTION DISTRICT-ALSEN ST IRMA L
1100,MOSQUITO & RODENT CONTROL
1200,LIBRARY BOARD OF CONTROL
1300,DPW INVENTORY
1500,DOWNTOWN DEVELOPMENT DISTRICT
1600,PLANNING COMMISSION
1610,EPA WETLANDS GRANT
1623,PLANNING COMMISSION LRA COMPREHENSIVE PL
2010,CITY COURT-ADMINISTRATION
2110,CITY CONSTABLE-GENERAL FUND
2500,DISTRICT COURT
2800,JUVENILE COURT
3020,SHERIFF'S OFFICE-CORRECTIONAL INSTITUTIO
3200,REGISTRAR OF VOTERS
3300,CORONER
4010,OFFICE OF THE MAYOR-PRESIDENT - ADMINIST
4012,US DEPT OF COMMERCE GRANTS - MAYOR'S OFF
4020,OFFICE OF THE MAYOR-PRESIDENT - SPECIAL
4028,MAYOR'S OFFICE-US SMALL BUSINESS ADM GRA
4031,MP-CONSTITUENT AND NEIGHBORHOOD PROGRAM
4050,OFFICE OF THE MP-RECYCLING DIVISION
4052,OFF OF THE MP-MISC STATE AID
4070,OFFICE OF THE MAYOR-PRESIDENT-COMMUNITY
4087,CITIES OF SERVICE LEADERSHIP GRANT
4110,FINANCE DEPARTMENT-ADMINISTRATION
