RECORD TYPE,PURCHASE ORDER NUMBER,REQUISITION NUMBER,INPUT DATE,TOTAL AMOUNT,INPUT BY,PURCHASING AGENT,PO TYPE CODE,PO CATEGORY CODE,PO STATUS CODE,TOTAL ITEMS,PO BALANCE,UNIQUE ID
H,PO160190,RQ039109,2/29/2016,26000.00,APKT,DK,S,PS,11,1,1112.00,PO160190
H,PO130546,173769,3/20/2013,45400.00,BDEM,PW,B,PS,11,2,0.00,PO130546
H,PO090538,RQ026493,12/12/2014,468300.00,GATM,PW,B,PS,10,2,7055.39,PO090538
H,PO160103,173779,1/21/2016,50000.00,BDTP,DX,B,PS,11,1,0.00,PO160103
H,PO160751,RQ039901,6/27/2016,75000.00,BDEM,PW,B,PS,11,1,0.00,PO160751
H,PO170239,RQ040722,2/7/2017,15279.36,BDMG,AF,B,AC,11,4,0.00,PO170239
H,PO170791,RQ041159,6/20/2017,34453.00,BDRE,WW,B,SB,11,3,0.00,PO170791
H,PO170792,RQ041171,6/15/2017,18528.00,BDRE,WW,B,SB,11,1,0.00,PO170792
H,PO131557,RQ035199,9/26/2013,9967.52,GATM,TF,B,SC,12,3,9967.52,PO131557
H,PO161164,RQ040277,11/10/2016,11314.52,BDAM,AW,B,SC,11,2,0.00,PO161164
H,PO130663,RQ034192,4/8/2013,17400.00,BDAM,PW,B,PS,11,2,0.00,PO130663
H,PO170168,RQ040618,2/1/2017,30000.00,BDEM,PW,S,PS,7,1,24100.00,PO170168
H,PO110306,RQ030029,3/2/2011,12000.00,BDKC,VD,B,QT,11,1,0.00,PO110306
H,PO141354,RQ036595,8/1/2017,16981650.63,BDMG,PW,B,CO,10,7,1369236.08,PO141354
H,PO170167,RQ040566,2/1/2017,205900.00,BDEM,PW,S,PS,7,1,51478.00,PO170167
H,PO170170,RQ040617,2/1/2017,50000.00,BDEM,PW,S,PS,7,1,44418.62,PO170170
H,PO101520,RQ029791,12/3/2010,100000.00,GAMD,MM,B,PS,11,1,428.84,PO101520
H,PO131882,RQ035351,11/15/2013,22500.00,BDKC,PW,B,PS,11,1,0.00,PO131882
H,PO170197,RQ040595,2/1/2017,4000.00,BDAM,PW,B,PS,7,1,3000.00,PO170197
H,PO170196,RQ040680,2/14/2017,655.00,BDAM,SB,B,SC,11,3,0.00,PO170196
H,PO170782,RQ041292,6/14/2017,1121.40,BDEM,AF,B,MS,3,1,1121.40,PO170782
H,PO170783,RQ041290,6/13/2017,1121.40,BDEM,AF,B,MS,3,1,1121.40,PO170783
H,PO170785,RQ041291,6/13/2017,1121.40,BDEM,AF,B,MS,7,1,934.50,PO170785
H,PO170789,RQ041279,6/15/2017,19579.40,BDRE,WW,B,SC,11,5,0.00,PO170789
H,PO161279,RQ040048,12/19/2016,13755721.35,BDMG,PW,B,CO,7,1,9902537.15,PO161279
H,PO160161,RQ038931,1/3/2017,267632.94,BDMG,PW,B,CO,11,2,0.00,PO160161
H,PO150611,RQ038288,4/21/2015,75000.00,GACF,PW,B,PS,11,1,0.00,PO150611
H,PO160181,RQ039228,2/2/2016,744.60,BDTP,AF,B,,11,1,0.00,PO160181
H,PO150960,RQ038653,8/25/2015,6544.84,BDTP,JJ,B,QT,11,2,0.00,PO150960
H,PO130876,RQ034107,5/17/2013,7996.00,BDCA,VD,B,QT,11,2,0.00,PO130876
H,PO160188,RQ039108,3/7/2016,189996.00,BDEM,DK,S,PS,11,1,0.00,PO160188
H,PO160187,RQ039325,2/2/2016,4500.00,BDTP,AW,B,PS,11,1,0.00,PO160187
H,PO161290,RQ040215,12/30/2016,10515.00,BDAM,PW,B,QT,11,5,0.00,PO161290
H,PO150962,RQ038599,8/28/2015,17600.00,GALL,RT,S,CD,11,1,0.00,PO150962
H,PO170796,RQ041305,6/15/2017,16000.00,GAJR,PW,B,PS,7,1,4000.00,PO170796
H,PO160189,RQ039314,6/23/2016,4064.80,BDRE,AF,B,SC,11,4,654.81,PO160189
H,PO150961,RQ038648,12/30/2015,116256.02,BDAM,AW,B,PS,11,3,16036.65,PO150961
H,PO170794,RQ041006,6/19/2017,22925.00,BDTP,DX,B,SB,3,1,22925.00,PO170794
H,PO160199,173547,2/19/2016,1270.19,BDMG,AF,B,SC,11,3,44.49,PO160199
H,PO151123,RQ038861,10/20/2015,2740.00,BDAM,AW,B,MS,11,3,0.00,PO151123
H,PO160370,RQ039492,12/14/2016,17250.00,GATM,DK,S,PS,11,3,10125.00,PO160370
H,PO170798,RQ041344,6/15/2017,5000.00,GAJR,PW,B,PS,3,1,5000.00,PO170798
H,PO150973,RQ038709,8/27/2015,24682.00,BDTP,DX,B,SC,11,5,0.00,PO150973
H,PO170799,RQ041345,6/15/2017,5000.00,GAJR,PW,B,PS,3,1,5000.00,PO170799
