REQUISITION NUMBER,DEPARTMENT NUMBER,VOUCHED AMOUNT,VENDOR NUMBER
RQ039109,9,24888,107316
RQ004539,70,0,1893
173769,6,45400,110959
RQ026493,72,461244.61,2004
173456,6,50000,110959
173779,6,50000,110959
RQ039901,40,75000,112375
RQ040370,61,18750.5,69219
RQ040722,1,15279.36,7558
RQ041159,44,34453,107853
RQ041171,44,18528,80385
RQ035199,12,0,3055
RQ040277,12,11314.52,988
RQ037639,9,195322.65,1261
RQ040319,12,850.16,112200
RQ040071,72,11000,98519
RQ034192,75,17400,111096
RQ038967,61,22450,99204
RQ029391,54,6500,86060
RQ031303,52,4000,86060
RQ032367,70,5050,86060
RQ035255,70,3250,86060
RQ040618,9,5900,90412
RQ040455,61,17000,77883
RQ038120,75,1702114,105327
RQ030029,72,12000,35717
RQ036595,75,15612414.55,30906
RQ040566,9,154422,4891
RQ029503,60,7000,7739
RQ040617,9,5581.38,25893
RQ029743,60,48900,7739
RQ029791,60,99571.16,7739
RQ035351,12,22500,86060
RQ040728,41,1565.93,7796
RQ041299,50,30139,86748
RQ040595,70,1000,12895
RQ040680,41,655,33444
RQ041292,77,0,33444
RQ041290,77,0,33444
RQ035694,20,3050,70560
RQ035692,60,66360,7739
RQ036841,55,376987.42,92069
RQ041291,77,186.9,33444
RQ040630,12,32716.2,996
RQ041279,41,19579.4,988
RQ040048,75,3853184.2,1375
RQ039229,20,893.4,7796
RQ039314,41,3409.99,7796
RQ039245,52,62249.94,38201
RQ038053,52,90000,6572
RQ038931,75,267632.94,55328
RQ038288,61,75000,7619
RQ039228,20,744.6,7796
RQ038653,5,6544.84,2211
RQ034107,51,7996,70
RQ039342,52,47200,107663
RQ039108,9,189996,4891
RQ039325,20,4500,58044
RQ040215,12,10515,1478
RQ038554,72,1942591.57,3396
RQ038599,61,17600,99204
RQ037371,75,8538113.59,3968
RQ041305,50,12000,116038
RQ038648,52,100219.37,22075
RQ041006,50,0,21176
173547,1,1225.7,3359
RQ038793,70,14803.62,52840
RQ038861,52,2740,58298
RQ038894,60,79790.2,77574
RQ039492,44,7125,35972
RQ041344,50,0,116021
RQ039678,70,6151.13,26232
RQ038709,50,24682,49924
RQ041345,50,0,116022
RQ038920,79,21004,79621
RQ040280,12,92272,54024
RQ039309,44,3951.49,3359
RQ038875,72,49900,405
RQ038918,79,21004,79621
RQ038917,79,23356,1343
RQ030012,61,9350,5116
RQ038886,72,100351.57,111270
RQ038916,79,40226,49924
RQ038919,79,21004,79621
RQ039390,40,109999.92,67567
177364,10,15799.54,3873
RQ039231,20,744.6,7796
RQ037295,12,548878.32,10345
RQ030878,61,24726.55,5116
RQ031991,61,20220.44,5116
RQ040315,12,0,111470
RQ039869,46,6495.5,75535
RQ032170,61,450000,5116
RQ032491,61,19971,5116
RQ039598,78,10776.22,2410
RQ034087,61,23038.21,5116
RQ035275,61,21505.87,5116
RQ039192,79,82440.4,22507
RQ038878,61,5928,197
RQ039193,70,645693.48,26098
RQ038932,41,14716.5,89152
RQ039816,72,34000,87776
RQ038960,61,37762.28,1283
RQ035274,61,41283.04,5116
RQ036875,50,1680.53,103683
RQ029329,60,2820,98806
RQ038866,71,11787.88,2389
RQ038970,61,26370.76,52840
174377,80,9972,1154
RQ037739,61,16975.36,5116
RQ038448,9,5885,16266
RQ037936,9,4772.55,10345
RQ030972,70,32568,106167
RQ034109,75,79050,4890
RQ039347,20,7200,106078
RQ038912,70,2651179.01,802
RQ040463,9,0,73596
RQ039349,44,17130.47,1283
RQ040717,9,29300,44160
RQ039332,20,2632,100514
RQ039833,75,537619.29,3972
RQ039881,46,824.3,1926
RQ036900,12,123432.62,3844
RQ039464,12,4079390,6044
RQ036267,75,5275958.96,3982
RQ032162,75,17463665.93,30596
RQ041272,40,11700,15233
RQ037268,70,239843.79,6141
RQ037191,15,25000,67970
RQ041282,9,11416,74838
RQ041034,70,15510.55,115813
RQ037772,75,11200,59871
RQ041285,50,212375,4008
RQ040694,60,7219.02,9267
RQ038186,12,25650,1819
174374,80,19000,1154
RQ038415,61,8799,108867
RQ038516,61,13250,103255
RQ038835,12,17280,1951
RQ039965,61,14200,99204
RQ039574,61,17200,99204
RQ040082,61,15725,99204
RQ039366,9,5907.95,988
RQ039913,78,0,55229
RQ038929,44,558169.82,26719
