VENDOR NUMBER,VENDOR NAME 1,VENDOR ADDRESS 1,VENDOR NAME 2,VENDOR ADDRESS 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR COUNTRY,VENDOR CONTACT NAME,VENDOR CONTACT TITLE,VENDOR CONTACT PHONE,VENDOR CONTACT EXTENSION,VENDOR MINORITY CODE
22,A A S CO,3201 MONTERREY BLVD,,,BATON ROUGE,LA,70814,UNITED STATES,LORETTA SWATTS,OWNER,,,UNKNOWN
70,STANTON'S APPLIANCE SALES,2450 N SHERWOOD FOREST BLVD,& SERVICE INC,,BATON ROUGE,LA,70815-1894,UNITED STATES,LEONIE KRUGER,OFFICE MANAGER,,,
76,ACME REFRIGERATION OF BATON ROUGE,11844 SOUTH CHOCTAW DR,,,BATON ROUGE,LA,70815,UNITED STATES,RON BERGERON,SALES REP,,,
81,ACTION ADVERTISING & FLAGS INC,10699 AIRLINE HWY STE A,,,BATON ROUGE,LA,70816,UNITED STATES,LARRY T FONTENOT,PRESIDENT,,,
83,ACTION TARGET INC,PO BOX 636,,,PROVO,UT,84603-0636,UNITED STATES,CRAIG BURDETTE,MGR WESTERN ST,,,
88,ADCO COMPANIES LTD,20022 LA HIGHWAY 16,,,DENHAM SPRINGS,LA,70726,UNITED STATES,JOHN WILLIS,VICE PRESIDENT,,,
94,ADVANCED OFFICE SYSTEMS INC,11434 INDUSTRIPLEX BLVD,,,BATON ROUGE,LA,70809-4230,UNITED STATES,ALLAN GILBERT,VP SERVICE,,12,
133,ALFORD SAFE & LOCK CO INC,1758 GOVERNMENT ST,,,BATON ROUGE,LA,70802-4056,UNITED STATES,GARY ALFORD,PRESIDENT,,,
138,ALL TRUCK PARTS &,15959 FLORIDA BLVD,EQUIPMENT CO LLC,,BATON ROUGE,LA,70819-2712,UNITED STATES,KAY FEATHERSTON,OFFICE MANAGER,,,
139,E EDWARD HOOD JR DDS APDC,140 VETERANS BLVD,HOOD DENTAL CARE,,DENHAM SPRINGS,LA,70726-5100,UNITED STATES,,,,,
150,ALLIED SYSTEMS INC,11680 S HARRELL'S FERRY,,,BATON ROUGE,LA,70816-2362,UNITED STATES,TRUETT W MILEY,PRESIDENT,,,
155,ALMO BARKER,5928 VALLEY FORGE AVE,BARKER'S BUS SERVICE,,BATON ROUGE,LA,70808,UNITED STATES,ALMO BARKER,OWNER,,,BLK AMER
162,ALUMINUM SPECIALTIES MANUFACTURING,8391 PARIS AVE,INC,,BATON ROUGE,LA,70814-2321,UNITED STATES,DARRELL SMITH,SALES MANAGER,,,
163,COOPER TRUCK CENTER,6800 FRONTAGE ROAD,D/B/A FREIGHTLINER OF MONROE,,MONROE,LA,71202,UNITED STATES,DERREL GRAHAM,,,,
194,AMERICAN MEDICINE INC,2924 BRAKLEY DR #B4,,,BATON ROUGE,LA,70816,UNITED STATES,BRIDGIT M SCHEXNAYDER,PRESIDENT,,,NON-M WBE
197,AMERICAN OFFICE MACHINES INC,2609 RIDGELAKE DR,,,METAIRIE,LA,70002-6036,UNITED STATES,JOHN D MANZELLA JR,PRESIDENT,,,
201,AMERICAN PRESS A+ STAMPS INC,12527 S CHOCTAW,,,BATON ROUGE,LA,70815,UNITED STATES,DAWN WAGNER,,,,
236,ANIMAL CARE EQUIPMENT & SERVICES,3075 75TH STREET UNIT #2,,,BOULDER,CO,80301-9949,UNITED STATES,BILL BROTHERS,PRES/OWNER,,,
248,APPLE INC,12545 RIATA VISTA,,MAIL STOP 198-3 ENT,AUSTIN,TX,78727,UNITED STATES,SHANNON LEAR,A/R SPECIALIST,,,
250,ADS INC,1930 FIRST COMMERCIAL DR,APPLICATION DATA SYSTEMS INC,,SOUTHHAVEN,MS,38671-1914,UNITED STATES,WILLIAM R PERKINS,PRESIDENT,,,
257,ARCCO POWER SYSTEMS,9424 NORTH INTERSTATE DRIVE,,,BATON ROUGE,LA,70809,UNITED STATES,BRUCE P SMITH,PRESIDENT,,,
259,ARNOLD & ASSOCIATES INTERIORS INC,3707 GOVERNMENT STREET,,,BATON ROUGE,LA,70806-5723,UNITED STATES,DELISA D ARNOLD,CELL,,,NON-M WBE
274,ARROW FENCE CO,3722 VICTORIA DR,,,BATON ROUGE,LA,70812-4314,UNITED STATES,EDDIE BARNES,OWNER,,,MN
282,ASCENSION PARISH ELECTRIC SUPPLY CO,1617 W HIGHWAY 30,,,GONZALES,LA,70737-5106,UNITED STATES,ELIZABETH HART,PRESIDENT,,,NON-M WBE
283,ALFA LAVAL ASHBROOK,11600 E HARDY RD,SIMON-HARTLEY INC,,HOUSTON,TX,77093-1021,UNITED STATES,M H PARTIN,VICE PRES FIN,,208,
284,ASHWIN SURA MD,5425 BRITTANY DR STE A,,,BATON ROUGE,LA,70808-9144,UNITED STATES,ASHWIN SURA,MD,,,MN
290,ASSOCIATED OFFICE SYSTEMS,301 N MAIN ST STE 1610,,,BATON ROUGE,LA,70825,UNITED STATES,S EUGENE RUSS,CEO,,,
294,ASSOCIATED WATERPROOFING CORP,5057 OSBORNE AVE,,,BATON ROUGE,LA,70805-8428,UNITED STATES,MARTIN E MAPP,VICE PRESIDENT,,,
297,ARC-BATON ROUGE,BATON ROUGE METRO ENTERPRISES,ASSOCIATION FOR RETARDED CITIZENS,8326 KELWOOD AVE,BATON ROUGE,LA,70806,UNITED STATES,DAVID MARTIN,FACILITY ADMIN,,,
323,AUTO-CHLOR SERVICES LLC,8768 KIOWA AVE,,ATTN GREG,BATON ROUGE,LA,70815,UNITED STATES,JOHN M EASTMAN,PRESIDENT,,,
331,AVANT & FALCON,429 GOVERNMENT ST,A LAW CORPORATION,,BATON ROUGE,LA,70802-6114,UNITED STATES,FLOYD FALCON,ATTORNEY-CELL,,,
341,TARGET SPECIALTY PRODUCTS,15415 MARQUARDT AVE,,,SANTA FE SPRINGS,CA,90670-5711,UNITED STATES,MIKE NICHOLS,CELL,,,
363,BAKER GLASS WORKS INC,3204 BAKER BLVD,,,BAKER,LA,70714-2891,UNITED STATES,JANET MOSLEY,CELL#,,,NON-M WBE
372,BANI CARVILLE & BROWN AIA,3718 GOVERNMENT ST,ARCHITECTS INC,,BATON ROUGE,LA,70806-5722,UNITED STATES,JOHN A BANI  AIA,PRESIDENT,,,
391,BATES & THIGPEN,335 3RD ST,,,BATON ROUGE,LA,70801-1308,UNITED STATES,WILLIAM BRADLEY BATES JR,PARTNER,,,
393,BATON ROUGE AREA MUTUAL AID SYSTEM,8011 MERLE GUSTAFSON DR,BRAMAS,,BATON ROUGE,LA,70807-5202,UNITED STATES,M KAY CALHOUN,SECT/TREASURER,,,
403,BATON ROUGE DUPLICATING PRODUCTS,11842 CLOVERLAND CT,BRDP,,BATON ROUGE,LA,70809,UNITED STATES,MALCOLM BRIGNAC,PRESIDENT,,,UNKNOWN
405,BATON ROUGE GREEN ASSOCIATION INC,439 N 11TH ST,,,BATON ROUGE,LA,70802,UNITED STATES,K DIANE LASAVIO,,,,
408,AMIKIDS BATON ROUGE INC,5555 BEECHWOOD DR,,,BATON ROUGE,LA,70805-1806,UNITED STATES,JAMILE EMILE,CELL,,,
414,BATON ROUGE POLICE SUPPLIES INC,9530 CORTANA PLACE,,,BATON ROUGE,LA,70815,UNITED STATES,DON HOGAN,OWNER,,,
416,BATON ROUGE PRINTING INC,1130 COMMERCIAL DR,,,PORT ALLEN,LA,70767,UNITED STATES,ALBERT BANKSTON,PRESIDENT,,,
418,BATON ROUGE RADIOLOGY GROUP,5422 DIJON DR,,,BATON ROUGE,LA,70808-4382,UNITED STATES,RANDOLPH J DEATON,BUSINESS MGR,,,
427,BATON ROUGE WATER CO,8755 GOODWOOD BLVD,,,BATON ROUGE,LA,70806-7916,UNITED STATES,BARRY ALLEN,PURCHASING AGT,,,
444,BAYOU TREE SERVICE INC,264 INDUSTRIAL AVE,,,JEFFERSON,LA,70121-2904,UNITED STATES,JOHN C BENTON,OWNER,,,UNKNOWN
463,BENGAL GLASS & MIRROR,1488 GOVERNMENT ST,,,BATON ROUGE,LA,70802-4048,UNITED STATES,RUSSELL TURNER,OWNER,,,
480,BEYER PRINTING INC,5608 GOVERNMENT ST,,,BATON ROUGE,LA,70806-6034,UNITED STATES,WILLIAM E BEYER,PRESIDENT,,,
481,BI,6265 GUNBARREL AVE STE B,BEHAVIORIAL INTERVENTIONS,,BOULDER,CO,80301,UNITED STATES,CATHY FIELDS,ACCOUNTANT I,,,NON-M WBE
485,BIG RIVER GLASS INC,1948 BEAUMONT DR,,,BATON ROUGE,LA,70806-1407,UNITED STATES,BEVERLY DURHAM,VICE PRESIDENT,,,UNKNOWN
521,BOH BROS CONSTRUCTION CO LLC,730 S TONTI ST,,,NEW ORLEANS,LA,70119-7551,UNITED STATES,ROBERT H BOH,PRESIDENT,,,
539,CHAMPION GRAPHIC COMMUNICATIONS,10848 AIRLINE HWY,DIV OF CHAMPION INDUSTRIES INC,,BATON ROUGE,LA,70816-4234,UNITED STATES,VINCE HAMMEL,(CELL NUMBER:),,,
